RUL_Range,Samples,MAE,RMSE,MAPE_%
0-50h,77,2.883806607756704,3.7454097709737018,74758880778.08382
50-100h,121,4.771031402324133,8.447514158664742,6.371408379003272
100-150h,106,10.77059441544658,20.228662932269383,8.911495835563718
150-200h,97,18.185807856758412,42.47762397968693,10.173654258441436
200-300h,168,16.41861832432411,23.98010410423471,6.816002672742225
300-500h,171,20.234380851651096,33.165878584087615,5.06757192380813
500+h,232,13.470255681370592,32.83501280708115,2.1414816639258203
